X,Y,Reconstruction_Error
-1117053.111750098,-844792.1822701137,0.0
-1113742.7847632668,-844792.1822701137,0.0
-1110432.4577764352,-844792.1822701137,0.0
-1107122.130789604,-844792.1822701137,0.0
-1103811.8038027724,-844792.1822701137,0.0
-1100501.4768159413,-844792.1822701137,0.0
-1097191.1498291097,-844792.1822701137,0.0
-1093880.8228422785,-844792.1822701137,0.0
-1090570.495855447,-844792.1822701137,0.0
-1087260.1688686158,-844792.1822701137,0.0
-1083949.8418817841,-844792.1822701137,0.0
-1080639.514894953,-844792.1822701137,0.0
-1077329.1879081216,-844792.1822701137,0.0
-1074018.8609212902,-844792.1822701137,0.0
-1070708.5339344589,-844792.1822701137,0.0
-1067398.2069476275,-844792.1822701137,0.0
-1064087.879960796,-844792.1822701137,0.0
-1060777.5529739647,-844792.1822701137,0.0
-1057467.2259871333,-844792.1822701137,0.0
-1054156.899000302,-844792.1822701137,0.0
-1050846.5720134706,-844792.1822701137,0.0
-1047536.2450266392,-844792.1822701137,0.0
-1044225.9180398078,-844792.1822701137,0.0
-1040915.5910529764,-844792.1822701137,0.0
-1037605.264066145,-844792.1822701137,0.0
-1034294.9370793137,-844792.1822701137,0.0
-1030984.6100924823,-844792.1822701137,0.0
-1027674.283105651,-844792.1822701137,0.0
-1024363.9561188195,-844792.1822701137,0.0
-1021053.6291319883,-844792.1822701137,0.0
-1017743.3021451568,-844792.1822701137,0.0
-1014432.9751583255,-844792.1822701137,0.0
-1011122.6481714941,-844792.1822701137,0.0
-1007812.3211846628,-844792.1822701137,0.0
-1004501.9941978314,-844792.1822701137,0.0
-1001191.667211,-844792.1822701137,0.0
-1845325.048853,-841158.9128142275,0.0
-1842014.7218661685,-841158.9128142275,0.0
-1838704.3948793372,-841158.9128142275,0.0
-1835394.0678925058,-841158.9128142275,0.0
-1832083.7409056744,-841158.9128142275,0.0
-1828773.413918843,-841158.9128142275,0.0
-1825463.0869320116,-841158.9128142275,0.0
-1822152.7599451803,-841158.9128142275,0.0
-1818842.432958349,-841158.9128142275,0.0
-1815532.1059715175,-841158.9128142275,0.0
-1812221.7789846861,-841158.9128142275,0.0
-1808911.4519978547,-841158.9128142275,0.0
-1805601.1250110234,-841158.9128142275,0.0
-1802290.798024192,-841158.9128142275,0.0
-1798980.4710373606,-841158.9128142275,0.0
-1795670.1440505292,-841158.9128142275,0.0
-1792359.817063698,-841158.9128142275,0.0
-1789049.4900768667,-841158.9128142275,0.0
-1785739.1630900353,-841158.9128142275,0.0
-1782428.836103204,-841158.9128142275,0.0
-1779118.5091163726,-841158.9128142275,0.0
-1775808.1821295412,-841158.9128142275,0.0
-1772497.8551427098,-841158.9128142275,0.0
-1769187.5281558784,-841158.9128142275,0.0
-1765877.201169047,-841158.9128142275,0.0
-1762566.8741822157,-841158.9128142275,0.0
-1759256.5471953843,-841158.9128142275,0.0
-1755946.220208553,-841158.9128142275,0.0
-1752635.8932217215,-841158.9128142275,0.0
-1749325.5662348901,-841158.9128142275,0.0
-1746015.2392480588,-841158.9128142275,0.0
-1742704.9122612274,-841158.9128142275,0.0
-1739394.585274396,-841158.9128142275,0.0
-1736084.2582875646,-841158.9128142275,0.0
-1732773.9313007332,-841158.9128142275,0.0
-1729463.6043139019,-841158.9128142275,0.0
-1726153.2773270705,-841158.9128142275,0.0
-1722842.950340239,-841158.9128142275,0.0
-1719532.6233534077,-841158.9128142275,0.0
-1716222.2963665763,-841158.9128142275,0.0
-1712911.969379745,-841158.9128142275,0.0
-1709601.6423929136,-841158.9128142275,0.0
-1706291.3154060822,-841158.9128142275,0.0
-1702980.988419251,-841158.9128142275,0.0
-1699670.6614324194,-841158.9128142275,0.0
-1696360.3344455883,-841158.9128142275,0.0
-1693050.007458757,-841158.9128142275,0.0
-1689739.6804719255,-841158.9128142275,0.0
-1686429.3534850942,-841158.9128142275,0.0
-1683119.0264982628,-841158.9128142275,0.0
-1679808.6995114314,-841158.9128142275,0.0
-1676498.3725246,-841158.9128142275,0.0
-1673188.0455377686,-841158.9128142275,0.0
-1669877.7185509373,-841158.9128142275,0.0
-1666567.3915641059,-841158.9128142275,0.0
-1663257.0645772745,-841158.9128142275,0.0
-1659946.737590443,-841158.9128142275,0.0
-1656636.4106036117,-841158.9128142275,0.0
-1653326.0836167803,-841158.9128142275,0.0
-1650015.756629949,-841158.9128142275,0.0
-1646705.4296431176,-841158.9128142275,0.0
-1643395.1026562862,-841158.9128142275,0.0
-1640084.7756694548,-841158.9128142275,0.0
-1636774.4486826234,-841158.9128142275,0.0
-1633464.121695792,-841158.9128142275,0.0
-1630153.7947089607,-841158.9128142275,0.0
-1626843.4677221293,-841158.9128142275,0.0
-1623533.140735298,-841158.9128142275,0.0
-1620222.8137484665,-841158.9128142275,0.0
-1616912.4867616352,-841158.9128142275,0.0
-1613602.1597748038,-841158.9128142275,0.0
-1610291.8327879724,-841158.9128142275,0.0
-1606981.505801141,-841158.9128142275,0.0
-1603671.1788143096,-841158.9128142275,0.0
-1600360.8518274785,-841158.9128142275,0.0
-1597050.524840647,-841158.9128142275,0.0
-1593740.1978538157,-841158.9128142275,0.0
-1590429.8708669841,-841158.9128142275,0.0
-1587119.543880153,-841158.9128142275,0.0
-1583809.2168933216,-841158.9128142275,0.0
-1580498.8899064902,-841158.9128142275,0.0
-1577188.5629196586,-841158.9128142275,0.0
-1573878.2359328275,-841158.9128142275,0.0
-1570567.908945996,-841158.9128142275,0.0
-1567257.5819591647,-841158.9128142275,0.0
-1563947.2549723333,-841158.9128142275,0.0
-1560636.927985502,-841158.9128142275,0.0
-1557326.6009986706,-841158.9128142275,0.0
-1554016.2740118392,-841158.9128142275,0.0
-1550705.9470250078,-841158.9128142275,0.0
-1547395.6200381764,-841158.9128142275,0.0
-1544085.293051345,-841158.9128142275,0.0
-1540774.9660645137,-841158.9128142275,0.0
-1537464.6390776823,-841158.9128142275,0.0
-1534154.312090851,-841158.9128142275,0.0
-1530843.9851040195,-841158.9128142275,0.0
-1527533.6581171881,-841158.9128142275,0.0
-1524223.3311303568,-841158.9128142275,0.0
-1520913.0041435254,-841158.9128142275,0.0
-1517602.677156694,-841158.9128142275,0.0
-1514292.3501698626,-841158.9128142275,0.0
-1510982.0231830315,-841158.9128142275,0.0
-1507671.6961961999,-841158.9128142275,0.0
-1504361.3692093687,-841158.9128142275,0.0
-1501051.042222537,-841158.9128142275,0.0
-1497740.715235706,-841158.9128142275,0.0
-1494430.3882488746,-841158.9128142275,0.0
-1491120.0612620432,-841158.9128142275,0.0
-1487809.7342752116,-841158.9128142275,0.0
-1484499.4072883804,-841158.9128142275,0.0
-1481189.0803015488,-841158.9128142275,0.0
-1477878.7533147177,-841158.9128142275,0.0
